OS	Data_Solicitacao	Cliente	Tipo_Cliente	Quem_Solicitou	Produto	Valor_OS	Transportadora	Valor_Envio	Rastreio	Quem_Autorizou	Status	Prazo_Entrega_Dias
181140	2025-08-24	Cristiane Bittencourt	PF	Cliente direto	Mac Mini	0.01	Retirada no balcão	0	S/N	Igor	Entregue	2
180966	2025-08-25	Marcos Aurélio Vieira	PF	Cliente direto	iPhone 15 Pro	7680.14	Correios	60.93	AD847328970BR	Marcelo	Devolvido	
181060	2025-08-25	Priscila Nogueira	PF	Cliente direto	MacBook Air	11607.11	FOX	324.73	2736697935	Sabrina	Entregue	4
181235	2025-08-26	Henrique Salgado	PF	Cliente direto	iPhone 14	4947.97	Retirada no balcão	0	S/N	Igor	Entregue	0
180152	2025-08-26	Ipê Educacional	PJ	Filial Regional	iPad	4605.87	Correios Seguro	66.05	AD381207931BR	Sabrina	Entregue	8
180633	2025-08-27	Sabrina Peixoto	PF	Cliente direto	iMac	14386.41	Correios	166.32	AD694882621BR	Igor	Em trânsito	
180802	2025-08-28	Litoral Alimentos	PJ	Filial Regional	Mac Mini	6811.96	Retirada no balcão	0	S/N	Sabrina	Entregue	2
180566	2025-09-01	Henrique Salgado	PF	Cliente direto	Apple Watch	2452.75	DHL	185.18	6934943422	Patrícia	Entregue	1
181254	2025-09-03	Leonardo Guimarães	PF	Cliente direto	Carregador	261.07	Correios	15	AD252567513BR	Igor	Pendente de envio	
180873	2025-09-04	Aline Serpa	PF	Cliente direto	Apple Watch	0.01	FOX	169.86	9634514484	Patrícia	Entregue	10
181217	2025-09-05	Igor Bezerra	PF	Cliente direto	iPhone 14	0.01	DHL	178.84	6431623030	Diego	Devolvido	
181410	2025-09-05	Fabrício Damasceno	PF	Cliente direto	iPhone 15 Pro	10093.21	Retirada no balcão	0	S/N	Marcelo	Entregue	1
180333	2025-09-06	Rodolfo Espíndola	PF	Cliente direto	Mac Mini	0.01	Correios	107.7	AD212980632BR	Vanessa	Entregue	14
180779	2025-09-06	Rafaela Monteiro	PF	Cliente direto	Apple Watch	3362.26	Correios	52.82	AD653648588BR	Vanessa	Entregue	10
181215	2025-09-09	Rodolfo Espíndola	PF	Cliente direto	Carregador	263.83	Correios	46.83	AD632862114BR	Renan	Entregue	5
180081	2025-09-11	Leonardo Guimarães	PF	Cliente direto	Magic Mouse	769.51	FOX	166.52	9480477258	Patrícia	Entregue	2
180248	2025-09-11	Otávio Marinho	PF	Cliente direto	iPhone 15	7369.09	FOX	219.91	3358916945	Patrícia	Entregue	6
180186	2025-09-12	Ventura Seguros	PJ	Filial Regional	iMac	0.01	DHL	433.85	6735210637	Sabrina	Entregue	5
181394	2025-09-13	Natália Quaresma	PF	Cliente direto	iPhone 13	0.01	Uber	48.04	S/N	Vanessa	Entregue	0
180915	2025-09-14	Otávio Marinho	PF	Cliente direto	iMac	14760.82	FOX	451.22	4728944734	Patrícia	Entregue	7
181023	2025-09-15	Priscila Nogueira	PF	Cliente direto	MacBook Air	8639.92	DHL	318.33	9460281387	Patrícia	Devolvido	
180659	2025-09-15	Débora Farias	PF	Cliente direto	iPhone 15	7897.28	DHL	243.08	3874906100	Vanessa	Entregue	8
180942	2025-09-15	Leonardo Guimarães	PF	Cliente direto	Carregador	252.74	DHL	130.2	8381841093	Renan	Entregue	4
181147	2025-09-17	Eduardo Vasconcelos	PF	Cliente direto	Trackpad	735.3	FOX	164.15	2413757698	Vanessa	Entregue	3
181413	2025-09-17	Vantage Digital	PJ	Filial Regional	iPhone 15 Pro	10652.69	Retirada no balcão	0	S/N	Diego	Entregue	0
180626	2025-09-18	Aliança Cooperativa	PJ	Filial Regional	iPhone 15 Pro	7075.87	Correios Seguro	64.34	AD454824193BR	Renan	Entregue	6
180714	2025-09-18	Priscila Nogueira	PF	Cliente direto	MacBook Air	0.01	DHL	292.71	3607632053	Patrícia	Entregue	1
181204	2025-09-19	Rafaela Monteiro	PF	Cliente direto	MacBook Air	9266.51	DHL	278.61	8456131910	Sabrina	Entregue	6
180813	2025-09-21	Gabriel Torquato	PF	Cliente direto	iPad Pro	10007.62	FOX	276.53	9743602732	Marcelo	Entregue	1
180203	2025-09-23	Rafaela Monteiro	PF	Cliente direto	iPad	0.01	DHL	252.24	8031376349	Diego	Entregue	3
180467	2025-09-23	Aline Serpa	PF	Cliente direto	iPhone 14	4885.21	Correios	57.45	AD342610256BR	Marcelo	Entregue	3
181211	2025-09-23	Planalto Distribuidora	PJ	Filial Regional	Carregador	275.15	Correios	45.91	AD849926928BR	Igor	Entregue	4
180444	2025-09-24	Gabriel Torquato	PF	Cliente direto	iPhone 15 Pro	0.01	DHL	191.65	6819519946	Vanessa	Entregue	5
180556	2025-09-24	Vinícius Cordeiro	PF	Cliente direto	Mac Mini	8298.29	Correios	125.57	AD625961868BR	Vanessa	Entregue	5
181391	2025-09-24	Sabrina Peixoto	PF	Cliente direto	MacBook Air	9919.95	FOX	294.41	1407998019	Renan	Devolvido	
180482	2025-09-27	Aliança Cooperativa	PJ	Filial Regional	iPhone 14	6428.79	DHL	179.91	1141362904	Igor	Entregue	8
180995	2025-09-28	Gabriel Torquato	PF	Cliente direto	Magic Mouse	626.39	Correios	43.68	AD321540196BR	Igor	Entregue	5
181385	2025-09-29	Fabrício Damasceno	PF	Cliente direto	iMac	0.01	DHL	441.15	4775540883	Diego	Entregue	4
180657	2025-09-30	Simone Aragão	PF	Cliente direto	iPhone 15 Pro	4899.62	Correios	16.41	AD985575275BR	Diego	Entregue	3
180818	2025-10-01	Eduardo Vasconcelos	PF	Cliente direto	iMac	0.01	Correios	144.03	AD279291529BR	Igor	Entregue	3
180404	2025-10-05	Aline Serpa	PF	Cliente direto	MacBook Pro 14	14978.09	Correios	75.07	AD172070263BR	Marcelo	Entregue	4
180037	2025-10-06	Vórtice Consultoria	PJ	Filial Regional	Cabo USB-C	0.01	Retirada no balcão	0	S/N	Patrícia	Entregue	1
180822	2025-10-07	Aliança Cooperativa	PJ	Filial Regional	Acessórios diversos	406.21	Correios	105.92	AD649361169BR	Diego	Pendente de envio	
181169	2025-10-08	Leonardo Guimarães	PF	Cliente direto	MacBook Air	6654.67	DHL	300.38	9709984274	Diego	Entregue	3
181057	2025-10-08	Simone Aragão	PF	Cliente direto	iPhone 14	4996.29	FOX	181.1	8732377719	Diego	Em trânsito	
180446	2025-10-08	Marcos Aurélio Vieira	PF	Cliente direto	MacBook Air	0.01	FOX	297.61	3039687760	Sabrina	Entregue	4
180042	2025-10-10	Fabrício Damasceno	PF	Cliente direto	iPhone 14	0.01	Correios	83.93	AD398327495BR	Igor	Em trânsito	
181006	2025-10-10	Ventura Seguros	PJ	Filial Regional	iPhone 14	5020.11	FOX	161.49	2056512480	Renan	Entregue	4
180199	2025-10-11	Natália Quaresma	PF	Cliente direto	Trackpad	642.04	Retirada no balcão	0	S/N	Diego	Pendente de envio	
181102	2025-10-12	Axiom Tecnologia	PJ	Filial Regional	Trackpad	574.28	FOX	184.35	4415853186	Renan	Entregue	3
180378	2025-10-12	Leonardo Guimarães	PF	Cliente direto	Magic Mouse	858.49	DHL	164.33	9811964654	Marcelo	Entregue	6
180187	2025-10-13	Ipê Educacional	PJ	Filial Regional	iPhone 15	0.01	Retirada no balcão	0	S/N	Patrícia	Entregue	3
181346	2025-10-14	Fortaleza Cimentos	PJ	Filial Regional	iMac	13566.88	Correios	183.88	AD270676755BR	Vanessa	Entregue	6
181403	2025-10-15	Ventura Seguros	PJ	Filial Regional	Trackpad	908.06	DHL	208.64	4387067680	Vanessa	Entregue	3
180108	2025-10-16	Aline Serpa	PF	Cliente direto	MacBook Pro 14	17764.06	Retirada no balcão	0	S/N	Diego	Entregue	3
181226	2025-10-17	Renata Camargo	PF	Cliente direto	AirPods Pro	2503.42	Correios	48.47	AD511216959BR	Patrícia	Entregue	1
180744	2025-10-18	Bem-Estar Hospitalar	PJ	Filial Regional	MacBook Pro 14	0.01	DHL	349.82	3072048147	Sabrina	Devolvido	
181392	2025-10-18	Simone Aragão	PF	Cliente direto	MacBook Pro 16	21139.67	DHL	367.94	4221406026	Patrícia	Em trânsito	
180588	2025-10-18	Metrópole Logística	PJ	Filial Regional	Trackpad	577.83	DHL	143.36	9147611283	Marcelo	Pendente de envio	
180193	2025-10-19	Beluga Advocacia	PJ	Filial Regional	iPad	0.01	Correios Seguro	109.61	AD905886866BR	Renan	Entregue	1
180130	2025-10-19	Axiom Tecnologia	PJ	Filial Regional	Trackpad	0.01	FOX	207.24	4366979566	Sabrina	Pendente de envio	
180743	2025-10-19	Débora Farias	PF	Cliente direto	Magic Mouse	779.09	DHL	156.8	2768588823	Renan	Entregue	6
180842	2025-10-19	Henrique Salgado	PF	Cliente direto	Carregador	0.01	Correios Seguro	68.16	AD893105613BR	Igor	Entregue	4
180472	2025-10-21	Rafaela Monteiro	PF	Cliente direto	MacBook Pro 14	0.01	DHL	301.97	4194934549	Vanessa	Entregue	10
180906	2025-10-21	Eduardo Vasconcelos	PF	Cliente direto	Magic Mouse	0.01	DHL	175.31	1957346036	Igor	Pendente de envio	
180054	2025-10-23	Henrique Salgado	PF	Cliente direto	Cabo USB-C	151.79	DHL	147.76	6191598346	Marcelo	Entregue	4
180670	2025-10-24	Gabriel Torquato	PF	Cliente direto	iPhone 14	5566.96	Correios	42.51	AD744373223BR	Diego	Devolvido	
180306	2025-10-26	Planalto Distribuidora	PJ	Filial Regional	Carregador	293.35	DHL	127.57	6719597153	Igor	Entregue	3
181270	2025-10-29	Beluga Advocacia	PJ	Filial Regional	Magic Mouse	571.27	Correios	54.95	AD613613641BR	Marcelo	Entregue	3
181171	2025-10-30	Bem-Estar Hospitalar	PJ	Filial Regional	MacBook Pro 14	0.01	FOX	332.52	4167953304	Diego	Em trânsito	
181028	2025-10-30	Natália Quaresma	PF	Cliente direto	Trackpad	654.07	DHL	188.79	9627721348	Patrícia	Pendente de envio	
180792	2025-10-31	Natália Quaresma	PF	Cliente direto	iPad	5978.83	DHL	277.74	4734586278	Patrícia	Entregue	2
180622	2025-11-01	Leonardo Guimarães	PF	Cliente direto	Trackpad	669.32	Correios Seguro	81.31	AD180956192BR	Sabrina	Entregue	10
181338	2025-11-01	Axiom Tecnologia	PJ	Filial Regional	Magic Mouse	752.13	FOX	163.71	1872795411	Marcelo	Entregue	8
180719	2025-11-02	Cristiane Bittencourt	PF	Cliente direto	iPhone 13	3647.92	DHL	163.52	7470372592	Igor	Entregue	3
180752	2025-11-04	Aline Serpa	PF	Cliente direto	iPhone 15	6979.17	Correios Seguro	42.41	AD407513715BR	Patrícia	Entregue	4
180455	2025-11-04	Vinícius Cordeiro	PF	Cliente direto	iPhone 15	0.01	Correios	43.02	AD535927078BR	Renan	Entregue	4
180940	2025-11-05	Constelar Engenharia	PJ	Filial Regional	AirPods Pro	1270.13	FOX	176.78	6289530149	Marcelo	Entregue	3
180982	2025-11-05	Aline Serpa	PF	Cliente direto	Carregador	0.01	FOX	159.52	5843196832	Renan	Entregue	6
180830	2025-11-05	Metrópole Logística	PJ	Filial Regional	Cabo USB-C	125.43	DHL	181.66	2433086429	Diego	Entregue	6
180791	2025-11-08	Estrada Real Transportes	PJ	Filial Regional	iPhone 15	0.01	Correios Seguro	87.39	AD893225274BR	Sabrina	Entregue	3
180353	2025-11-08	Constelar Engenharia	PJ	Filial Regional	MacBook Pro 16	24196.75	Retirada no balcão	0	S/N	Diego	Pendente de envio	
180077	2025-11-08	Tatiane Rezende	PF	Cliente direto	iPad	4595.52	Retirada no balcão	0	S/N	Sabrina	Em trânsito	
180133	2025-11-09	Vinícius Cordeiro	PF	Cliente direto	Trackpad	826.12	Correios	58.19	AD552342173BR	Sabrina	Entregue	4
180723	2025-11-10	Fabrício Damasceno	PF	Cliente direto	iPhone 15 Pro	0.01	Correios	98.44	AD106203552BR	Diego	Entregue	3
180089	2025-11-11	Priscila Nogueira	PF	Cliente direto	iPhone 13	2998.99	Retirada no balcão	0	S/N	Patrícia	Entregue	1
180364	2025-11-13	Cedro Participações	PJ	Filial Regional	Trackpad	621.75	DHL	206.29	2340870464	Diego	Entregue	6
180634	2025-11-13	Cristiane Bittencourt	PF	Cliente direto	Mac Mini	5797.01	DHL	265.48	7470041738	Igor	Entregue	5
180215	2025-11-14	Priscila Nogueira	PF	Cliente direto	Carregador	0.01	FOX	196.75	2140563900	Patrícia	Entregue	3
181199	2025-11-16	Aline Serpa	PF	Cliente direto	MacBook Pro 16	28128.71	Uber	42.32	S/N	Igor	Em trânsito	
180562	2025-11-16	Bem-Estar Hospitalar	PJ	Filial Regional	Apple Watch	2848.06	Correios	43.54	AD590602940BR	Patrícia	Cancelado	
180646	2025-11-17	Rodolfo Espíndola	PF	Cliente direto	AirPods Pro	1637.71	FOX	144.3	3924783670	Patrícia	Entregue	6
181174	2025-11-18	Bem-Estar Hospitalar	PJ	Filial Regional	iPad	4208.52	Retirada no balcão	0	S/N	Renan	Entregue	2
180304	2025-11-18	Igor Bezerra	PF	Cliente direto	Cabo USB-C	113.49	FOX	175.71	2689897756	Vanessa	Entregue	8
180265	2025-11-19	Cedro Participações	PJ	Filial Regional	MacBook Air	9866.69	Correios	96.54	AD948590932BR	Patrícia	Entregue	5
180732	2025-11-21	Rafaela Monteiro	PF	Cliente direto	Magic Mouse	724.81	DHL	164.4	1154672890	Renan	Entregue	7
181051	2025-11-22	Axiom Tecnologia	PJ	Filial Regional	MacBook Pro 14	17288.33	DHL	335.54	4220565615	Sabrina	Em trânsito	
180738	2025-11-22	Axiom Tecnologia	PJ	Filial Regional	Cabo USB-C	0.01	Correios	54.7	AD456459817BR	Sabrina	Entregue	5
181349	2025-11-23	Aline Serpa	PF	Cliente direto	iPhone 13	0.01	DHL	235.66	5511050470	Sabrina	Entregue	3
180931	2025-11-25	Cristiane Bittencourt	PF	Cliente direto	MacBook Pro 16	0.01	Correios	134.81	AD319521672BR	Vanessa	Em trânsito	
181366	2025-11-25	Marcos Aurélio Vieira	PF	Cliente direto	Acessórios diversos	453.31	DHL	182.39	7315559072	Marcelo	Entregue	8
181017	2025-11-26	Aliança Cooperativa	PJ	Filial Regional	Mac Mini	5340.24	FOX	301.77	6825035671	Igor	Entregue	2
180165	2025-11-26	Rodolfo Espíndola	PF	Cliente direto	AirPods Pro	1535.26	Correios	27.66	AD331048965BR	Sabrina	Entregue	1
180578	2025-11-26	Rodolfo Espíndola	PF	Cliente direto	MacBook Air	10598.09	Correios	111.03	AD941377075BR	Sabrina	Entregue	1
180043	2025-11-27	Leonardo Guimarães	PF	Cliente direto	AirPods Pro	1962	DHL	186.42	1756849392	Patrícia	Entregue	3
180480	2025-11-28	Natália Quaresma	PF	Cliente direto	iPhone 15	5429.04	Correios	41.43	AD878058375BR	Renan	Entregue	3
181107	2025-11-29	Bem-Estar Hospitalar	PJ	Filial Regional	Cabo USB-C	128.09	Uber	40.51	S/N	Vanessa	Cancelado	
180984	2025-11-29	Renata Camargo	PF	Cliente direto	MacBook Pro 14	15462.31	Correios Seguro	130.14	AD784528464BR	Marcelo	Entregue	3
180925	2025-12-01	Estrada Real Transportes	PJ	Filial Regional	MacBook Air	6747.86	Correios	112.69	AD953558927BR	Vanessa	Entregue	3
180922	2025-12-02	Constelar Engenharia	PJ	Filial Regional	iPad Pro	10838.63	Correios	74.83	AD267389248BR	Vanessa	Entregue	4
180912	2025-12-03	Estrada Real Transportes	PJ	Filial Regional	Magic Mouse	0.01	FOX	130.57	5078979126	Sabrina	Entregue	14
180332	2025-12-05	Gabriel Torquato	PF	Cliente direto	iPhone 14	5732.61	Correios	53.49	AD271731462BR	Marcelo	Entregue	10
181193	2025-12-06	Vórtice Consultoria	PJ	Filial Regional	Mac Mini	0.01	Uber	37.37	S/N	Diego	Entregue	0
181316	2025-12-06	Litoral Alimentos	PJ	Filial Regional	Carregador	225.07	FOX	160.84	6612864426	Renan	Em trânsito	
180323	2025-12-07	Priscila Nogueira	PF	Cliente direto	iPhone 15	5882.24	DHL	209.31	8629393826	Vanessa	Pendente de envio	
181426	2025-12-08	Henrique Salgado	PF	Cliente direto	iPhone 14	4623.52	Retirada no balcão	0	S/N	Vanessa	Entregue	2
180432	2025-12-08	Leonardo Guimarães	PF	Cliente direto	Magic Mouse	879.01	Correios	100.49	AD212322843BR	Renan	Cancelado	
181065	2025-12-09	Fortaleza Cimentos	PJ	Filial Regional	Apple Watch	0.01	FOX	188.65	3922809731	Diego	Entregue	6
181275	2025-12-09	Aliança Cooperativa	PJ	Filial Regional	MacBook Pro 14	0.01	Correios	107.81	AD447907287BR	Marcelo	Entregue	4
180314	2025-12-10	Igor Bezerra	PF	Cliente direto	AirPods Pro	0.01	DHL	182.95	4951699452	Diego	Entregue	1
180516	2025-12-10	Rodolfo Espíndola	PF	Cliente direto	Mac Mini	0.01	Correios	105.93	AD930469708BR	Igor	Entregue	4
180524	2025-12-11	Gabriel Torquato	PF	Cliente direto	Carregador	0.01	DHL	96.78	5105100546	Marcelo	Devolvido	
180746	2025-12-12	Sabrina Peixoto	PF	Cliente direto	Acessórios diversos	385.22	DHL	180.81	6859537779	Marcelo	Cancelado	
180421	2025-12-13	Renata Camargo	PF	Cliente direto	Carregador	248.86	Correios	86.05	AD735534654BR	Igor	Entregue	7
180684	2025-12-13	Cristiane Bittencourt	PF	Cliente direto	iPad	5171.58	DHL	230.29	5302204322	Diego	Entregue	1
180512	2025-12-13	Priscila Nogueira	PF	Cliente direto	Trackpad	899.59	DHL	170.6	6180232131	Diego	Entregue	2
180426	2025-12-14	Sabrina Peixoto	PF	Cliente direto	MacBook Pro 14	13717.14	FOX	338.46	2618519046	Marcelo	Entregue	6
181187	2025-12-15	Aliança Cooperativa	PJ	Filial Regional	MacBook Pro 14	17096.15	Correios Seguro	117.18	AD925923933BR	Renan	Devolvido	
180153	2025-12-17	Bem-Estar Hospitalar	PJ	Filial Regional	MacBook Pro 16	0.01	Correios	168.94	AD291018544BR	Igor	Entregue	7
180263	2025-12-17	Rafaela Monteiro	PF	Cliente direto	Trackpad	600.98	FOX	185.63	6196931625	Patrícia	Entregue	7
180449	2025-12-17	Vórtice Consultoria	PJ	Filial Regional	iPhone 14	4114.57	Uber	46.27	S/N	Marcelo	Entregue	0
180530	2025-12-19	Vantage Digital	PJ	Filial Regional	iPhone 13	0.01	DHL	207.28	6572309492	Marcelo	Entregue	3
180287	2025-12-21	Bem-Estar Hospitalar	PJ	Filial Regional	iPhone 15	0.01	Correios	95.79	AD594662796BR	Renan	Devolvido	
180680	2025-12-22	Aline Serpa	PF	Cliente direto	iPad Pro	8067.6	Correios	123.87	AD413949542BR	Sabrina	Entregue	6
180079	2025-12-22	Sabrina Peixoto	PF	Cliente direto	Carregador	196.19	FOX	168.54	5250315046	Sabrina	Entregue	10
180584	2025-12-22	Litoral Alimentos	PJ	Filial Regional	MacBook Pro 14	14007.88	Retirada no balcão	0	S/N	Igor	Entregue	3
180343	2025-12-23	Renata Camargo	PF	Cliente direto	MacBook Pro 16	17065.27	DHL	404.33	2011482045	Vanessa	Pendente de envio	
180416	2025-12-26	Henrique Salgado	PF	Cliente direto	MacBook Pro 16	0.01	Uber	31.25	S/N	Sabrina	Devolvido	
180502	2025-12-26	Metrópole Logística	PJ	Filial Regional	iPhone 15 Pro	9298.95	DHL	233.13	9980302193	Diego	Entregue	6
180856	2025-12-26	Renata Camargo	PF	Cliente direto	iPhone 13	3078.09	Correios	109.76	AD591668966BR	Igor	Entregue	5
181278	2025-12-27	Fabrício Damasceno	PF	Cliente direto	iPhone 14	0.01	Correios	52.93	AD950739768BR	Marcelo	Entregue	8
180706	2025-12-27	Axiom Tecnologia	PJ	Filial Regional	MacBook Pro 16	0.01	Retirada no balcão	0	S/N	Igor	Entregue	0
180785	2025-12-28	Tatiane Rezende	PF	Cliente direto	AirPods Pro	1576.06	Uber	29.6	S/N	Patrícia	Em trânsito	
180338	2025-12-29	Metrópole Logística	PJ	Filial Regional	Magic Mouse	0.01	DHL	156.02	4262313895	Igor	Entregue	4
180299	2025-12-30	Igor Bezerra	PF	Cliente direto	Magic Mouse	0.01	Retirada no balcão	0	S/N	Patrícia	Entregue	1
181200	2025-12-31	Bem-Estar Hospitalar	PJ	Filial Regional	Magic Mouse	0.01	Retirada no balcão	0	S/N	Vanessa	Entregue	2
181369	2026-01-01	Henrique Salgado	PF	Cliente direto	iPhone 15	0.01	Correios Seguro	91.43	AD804945740BR	Igor	Entregue	4
181112	2026-01-02	Ventura Seguros	PJ	Filial Regional	Magic Mouse	679.75	Correios	48.4	AD929302078BR	Marcelo	Pendente de envio	
181419	2026-01-03	Metrópole Logística	PJ	Filial Regional	Cabo USB-C	0.01	Retirada no balcão	0	S/N	Patrícia	Pendente de envio	
181085	2026-01-07	Igor Bezerra	PF	Cliente direto	Carregador	0.01	Correios	57.72	AD332265771BR	Diego	Pendente de envio	
180879	2026-01-07	Ipê Educacional	PJ	Filial Regional	iPhone 14	0.01	Correios	65.99	AD180624330BR	Sabrina	Entregue	5
180018	2026-01-08	Gabriel Torquato	PF	Cliente direto	MacBook Pro 16	23667.49	Correios	119.47	AD934543046BR	Igor	Entregue	2
180028	2026-01-08	Vantage Digital	PJ	Filial Regional	iPhone 14	5881.64	Correios	74.59	AD978700210BR	Diego	Entregue	2
180547	2026-01-08	Simone Aragão	PF	Cliente direto	iPad	4276.13	FOX	271.27	7244464541	Marcelo	Entregue	2
181312	2026-01-08	Rafaela Monteiro	PF	Cliente direto	MacBook Pro 14	14433.62	DHL	345.99	2126755406	Renan	Entregue	10
180409	2026-01-08	Natália Quaresma	PF	Cliente direto	Carregador	205.88	DHL	111.78	1559509547	Marcelo	Entregue	4
180305	2026-01-08	Eduardo Vasconcelos	PF	Cliente direto	MacBook Pro 14	12705.77	Uber	22.38	S/N	Vanessa	Entregue	0
180236	2026-01-09	Aline Serpa	PF	Cliente direto	AirPods Pro	0.01	DHL	172.34	6772264875	Marcelo	Entregue	3
180385	2026-01-09	Sabrina Peixoto	PF	Cliente direto	iMac	0.01	Correios Seguro	145.48	AD618334357BR	Patrícia	Entregue	7
180262	2026-01-11	Axiom Tecnologia	PJ	Filial Regional	iPad	0.01	Correios	68.79	AD197811806BR	Renan	Entregue	7
181135	2026-01-12	Ipê Educacional	PJ	Filial Regional	iPhone 15	6669.59	Correios Seguro	68.38	AD327876294BR	Marcelo	Entregue	6
181032	2026-01-13	Metrópole Logística	PJ	Filial Regional	Apple Watch	3344.7	Correios	32.44	AD682742929BR	Diego	Entregue	8
180419	2026-01-13	Igor Bezerra	PF	Cliente direto	iPhone 14	6231.34	FOX	220.3	2083279960	Renan	Pendente de envio	
180313	2026-01-13	Priscila Nogueira	PF	Cliente direto	iPhone 15 Pro	9106.21	DHL	193.67	2917047932	Marcelo	Entregue	2
180114	2026-01-14	Axiom Tecnologia	PJ	Filial Regional	iPad Pro	0.01	DHL	282.36	5567134389	Diego	Entregue	2
180807	2026-01-14	Igor Bezerra	PF	Cliente direto	Trackpad	712.29	DHL	187.6	1805288267	Sabrina	Entregue	7
181404	2026-01-17	Cedro Participações	PJ	Filial Regional	MacBook Air	0.01	Correios Seguro	107.74	AD836625825BR	Marcelo	Entregue	3
180863	2026-01-17	Planalto Distribuidora	PJ	Filial Regional	Trackpad	936.57	Correios	83.2	AD194413825BR	Renan	Entregue	4
180259	2026-01-18	Cristiane Bittencourt	PF	Cliente direto	iPhone 13	0.01	DHL	167.98	6239968573	Patrícia	Cancelado	
181105	2026-01-19	Cedro Participações	PJ	Filial Regional	Carregador	250.15	DHL	143.02	8368833670	Sabrina	Entregue	8
181114	2026-01-22	Fortaleza Cimentos	PJ	Filial Regional	iMac	0.01	Correios	144.82	AD807445130BR	Diego	Entregue	4
180025	2026-01-23	Gabriel Torquato	PF	Cliente direto	iPhone 14	0.01	Correios	75.1	AD912973887BR	Patrícia	Entregue	3
